Année;Niveau;Type;Ancien Code Officiel;Code Courant Officiel
2025;COM;commune;02128;02128
2025;COM;commune;79173;79174
2025;COM;commune;80232;80232
2025;COM;commune;55258;55258
2025;COM;commune;80036;80036
2025;COM;commune;17186;17186
2025;COM;commune;22277;22277
2025;COM;commune;30142;30142
2025;COM;commune;69241;69241
2025;COM;commune;63230;63230
2025;COM;commune;02492;02492
2025;COM;commune;08036;08036
2025;COM;commune;68043;68043
2025;COM;commune;90085;90085
2025;COM;commune;70489;70489
2025;COM;commune;21635;21635
2025;COM;commune;21621;21623
2025;COM;commune;13104;13104
2025;COM;commune;82029;82029
2025;COM;commune;84013;84013
2025;COM;commune;04086;04086
2025;COM;commune;39207;39207
2025;COM;commune;23240;23240
2025;COM;commune;77127;77127
2025;COM;commune;63247;63247
2025;COM;commune;50207;50207
2025;COM;commune;78009;78009
2025;COM;commune;03090;03090
2025;COM;commune;27673;27673
2025;COM;commune;35266;35266
2025;COM;commune;50269;50269
2025;COM;commune;77263;77263
2025;COM;commune;40194;40194
2025;COM;commune;51592;51592
2025;COM;commune;77399;77504
2025;COM;commune;42030;42030
2025;COM;commune;17381;17381
2025;COM;commune;2B034;2B034
2025;COM;commune;53141;53141
2025;COM;commune;52194;52194
2025;COM;commune;89228;89228
2025;COM;commune;21522;21522
2025;COM;commune;14225;14225
2025;COM;commune;38498;38498
2025;COM;commune;27227;27227
2025;COM;commune;17359;17359
2025;COM;commune;68153;68153
2025;COM;commune;23161;23149
2025;COM;commune;58046;58046
2025;COM;commune;68073;68073
2025;COM;commune;72231;72231
2025;COM;commune;10383;10383
2025;COM;commune;50046;50046
2025;COM;commune;34074;34074
2025;COM;commune;09135;09334
2025;COM;commune;01413;01215
2025;COM;commune;59285;59285
2025;COM;commune;64141;64141
2025;COM;commune;18068;18068
2025;COM;commune;57589;57589
2025;COM;commune;54297;54297
2025;COM;commune;80819;80819
2025;COM;commune;26255;26255
2025;COM;commune;58190;58190
2025;COM;commune;79040;79040
2025;COM;commune;51152;51152
2025;COM;commune;82055;82055
2025;COM;commune;74241;74241
2025;COM;commune;54296;54296
2025;COM;commune;05104;05104
2025;COM;commune;52243;52243
2025;COM;commune;51629;51629
2025;COM;commune;27529;27529
2025;COM;commune;72296;72296
2025;COM;commune;52001;52001
2025;COM;commune;82144;82144
2025;COM;commune;52230;52230
2025;COM;commune;25522;25522
2025;COM;commune;89349;89349
2025;COM;commune;60085;60085
2025;COM;commune;07236;07236
2025;COM;commune;64339;64339
2025;COM;commune;45089;45089
2025;COM;commune;67092;67092
2025;COM;commune;02043;02043
2025;COM;commune;88373;88373
2025;COM;commune;31382;31382
2025;COM;commune;44062;44062
2025;COM;commune;03163;03163
2025;COM;commune;23250;23250
2025;COM;commune;79310;79310
2025;COM;commune;29015;29015
2025;COM;commune;54559;54559
2025;COM;commune;38053;38053
2025;COM;commune;52005;52005
2025;COM;commune;05045;05045
2025;COM;commune;40319;40319
2025;COM;commune;54334;54334
2025;COM;commune;37280;37280
2025;COM;commune;80060;80060
2025;COM;commune;16050;16050
2025;COM;commune;31536;31536
2025;COM;commune;72022;72022
2025;COM;commune;21360;21360
2025;COM;commune;76077;76077
2025;COM;commune;51343;51343
2025;COM;commune;18204;18204
2025;COM;commune;89472;89472
2025;COM;commune;87056;87056
2025;COM;commune;62322;62322
2025;COM;commune;33310;33310
2025;COM;commune;68281;68281
